home_score,away_score,empate,dif_gol,local,visitante,num_continente_local,num_continente_visitante,num_continente_anfitrion
1,2,False,-1,36,5,3,2,1
0,3,False,-3,33,25,2,2,1
2,0,False,2,58,11,2,1,1
2,0,False,2,2,9,1,2,1
2,3,False,-1,66,37,3,2,1
3,0,False,3,25,53,2,2,1
1,0,False,1,42,36,1,3,1
2,2,True,0,51,5,1,2,1
1,3,False,-2,54,43,2,4,1
0,3,False,-3,0,66,4,2,1
0,3,False,-3,48,8,2,1,1
2,0,False,2,20,27,2,2,1
0,0,True,0,60,76,2,1,1
2,0,False,2,42,9,1,2,1
3,4,False,-1,58,5,2,2,1
1,0,False,1,2,76,1,1,1
4,0,False,4,8,53,1,2,1
0,2,False,-2,38,25,2,2,1
0,1,False,-1,43,27,4,2,1
1,5,False,-4,20,66,2,2,1
3,0,False,3,25,51,2,1,1
1,1,True,0,8,25,1,2,1
0,0,True,0,42,27,1,2,1
2,1,False,1,2,24,1,2,1
1,1,True,0,67,5,2,2,1
2,0,False,2,2,5,1,2,1
0,2,False,-2,26,27,2,2,1
4,2,False,2,26,5,2,2,1
3,2,False,1,2,27,1,2,1
0,1,False,-1,2,10,1,4,2
1,0,False,1,38,4,2,2,2
0,2,False,-2,58,56,2,2,2
0,2,False,-2,75,14,3,1,2
2,1,False,1,8,67,1,2,2
4,1,False,3,28,78,2,2,2
1,5,False,-4,76,18,1,2,2
1,0,False,1,15,59,1,2,2
1,1,True,0,25,55,2,2,2
2,0,False,2,5,65,2,3,2
1,1,True,0,44,22,2,4,2
2,0,False,2,2,57,1,2,2
0,0,True,0,77,66,1,2,2
2,1,False,1,10,56,4,2,2
1,0,False,1,38,75,2,1,2
1,0,False,1,79,14,2,1,2
0,1,False,-1,4,18,2,2,2
5,1,False,4,28,74,2,3,2
1,0,False,1,8,15,1,1,2
0,0,True,0,25,44,2,2,2
1,2,False,-1,68,59,2,2,2
3,1,False,2,5,76,2,1,2
0,0,True,0,56,22,2,4,2
1,3,False,-2,66,66,3,2,2
1,1,True,0,2,56,1,2,2
0,4,False,-4,10,57,4,2,2
2,1,False,1,4,75,2,1,2
1,1,True,0,28,14,2,1,2
2,0,False,2,38,18,2,2,2
4,1,False,3,79,74,2,3,2
1,0,False,1,8,59,1,2,2
1,2,False,-1,68,15,2,1,2
1,2,False,-1,5,66,2,2,2
1,0,False,1,25,22,2,4,2
1,1,True,0,56,44,2,2,2
